Room nr.,Total fee,Kitchen duty,Minors,Kitchen cleaning,Wok pan/small pot,Toaster
1,40,0,2,0,0,2
2,20,2,2,4,2,2
3,100,2,0,0,0,0
4,80,0,2,0,0,2
5,60,0,0,6,0,4
6,180,8,0,0,0,0
7,40,0,2,0,0,2
8,20,0,2,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,80,0,2,0,4,2
12,0,0,0,0,0,0
13,240,2,2,2,0,2
14,0,0,0,0,0,0
15,40,0,2,0,0,2
16,60,0,6,0,0,0
17,0,0,0,0,0,0
